id,title,original_language,popularity,release_date,vote_average,vote_count
0,The Family Plan,en,3089.182,12/14/2023,7.4,634
1,The Hunger Games: The Ballad of Songbirds & Snakes,en,1965.673,11/15/2023,7.2,1380
2,Rebel Moon - Part One: A Child of Fire,en,1846.529,12/15/2023,6.5,1122
3,Silent Night,en,1239.235,11/30/2023,5.9,260
4,Aquaman and the Lost Kingdom,en,1369.764,12/20/2023,6.5,419
5,Thanksgiving,en,1294.686,11/16/2023,6.7,464
6,A Creature Was Stirring,en,1158.602,12/8/2023,5,14
7,Rewind,tl,1351.1,12/25/2023,7.1,10
8,Five Nights at Freddy's,en,1054.662,10/25/2023,7.8,3103
9,Rumble Through the Dark,en,839.89,11/3/2023,6.6,32
10,Freelance,en,833.94,10/5/2023,6.5,443
11,Expend4bles,en,809.915,9/15/2023,6.4,988
12,The Creator,en,790.606,9/27/2023,7.2,1789
13,Hell House LLC Origins: The Carmichael Manor,en,808.521,10/24/2023,6.3,52
14,Oppenheimer,en,1129.554,7/19/2023,8.1,5981
15,Boudica,en,764.04,10/26/2023,5.9,96
16,Wonka,en,809.739,12/6/2023,7.1,900
17,The Exorcist: Believer,en,718.791,10/4/2023,6.1,730
18,Mortal Kombat Legends: Cage Match,en,670.562,10/17/2023,7,69
19,The Duel,es,596.503,10/12/2023,7.8,4
20,Leo,en,717.835,11/17/2023,7.5,780
21,Trolls Band Together,en,631.495,10/12/2023,7.2,492
22,Nowhere,es,585.298,9/29/2023,7.5,1031
23,Muzzle,en,595.128,9/29/2023,6.6,142
24,Society of the Snow,es,917.756,12/13/2023,8.1,386
25,Transformers: Rise of the Beasts,en,518.09,6/6/2023,7.4,3844
26,The Equalizer 3,en,465.908,8/30/2023,7.4,2073
27,Fog City,en,526.761,10/20/2023,4.2,5
28,Fast X,en,534.09,5/17/2023,7.2,4658
29,The Super Mario Bros. Movie,en,523.509,4/5/2023,7.7,7714
30,Chicken Run: Dawn of the Nugget,en,515.973,12/8/2023,7.2,421
31,Fast Charlie,en,440.776,12/8/2023,6.2,55
32,Lord of Misrule,en,479.195,10/26/2023,5.8,13
33,57 Seconds,en,431.562,9/29/2023,5.9,251
34,All the Names of God,es,533.844,9/15/2023,6.9,36
35,Knuckle Girl,ja,448.854,10/25/2023,6.7,19
36,Meg 2: The Trench,en,446.806,8/2/2023,6.7,2794
37,Ballerina,ko,410.413,10/5/2023,7,359
38,Migration,en,437.59,12/6/2023,7.3,92
39,Retribution,en,405.785,8/23/2023,6.9,813
40,John Wick: Chapter 4,en,439.87,3/22/2023,7.8,5349
41,The Flash,en,372.053,6/13/2023,6.8,3454
42,Talk to Me,en,385.792,7/26/2023,7.2,2069
43,Godzilla Minus One,ja,411.451,11/3/2023,8,245
44,Leave the World Behind,en,404.987,11/22/2023,6.5,1516
45,Barbie,en,457.096,7/19/2023,7.2,6801
46,Saw X,en,370.882,9/26/2023,7.4,1391
47,Jigen Daisuke,ja,391.399,10/12/2023,7.2,35
48,The Nun II,en,388.196,9/6/2023,6.9,1614
49,The Conference,sv,375.047,10/13/2023,5.4,234
50,Blue Beetle,en,340.044,8/16/2023,6.9,2013
51,Elemental,en,395.436,6/14/2023,7.7,3422
52,Gran Turismo,en,354.304,8/9/2023,8,1756
53,Sound of Freedom,en,364.608,7/3/2023,8.1,1748
54,My Fault,es,378.848,6/8/2023,8.1,2097
55,Napoleon,en,398.187,11/22/2023,6.4,896
56,Wish,en,336.58,11/13/2023,6.4,257
57,Saltburn,en,467.58,11/16/2023,7.2,900
58,Spider-Man: Across the Spider-Verse,en,367.36,5/31/2023,8.4,5445
59,Killers of the Flower Moon,en,435.116,10/18/2023,7.5,1801
60,Aquaman,en,528.104,12/7/2018,6.9,13292
61,Avatar: The Way of Water,en,320.08,12/14/2022,7.6,10574
62,The Last Voyage of the Demeter,en,333.396,8/9/2023,7.1,1079
63,Puss in Boots: The Last Wish,en,316.224,12/7/2022,8.3,6843
64,Pretty Guardian Sailor Moon Cosmos The Movie Part 1,ja,427.998,6/9/2023,8.7,7
65,Jawan,hi,261.474,9/7/2023,7.2,171
66,Mission: Impossible - Dead Reckoning Part One,en,304.608,7/8/2023,7.6,2858
67,Indiana Jones and the Dial of Destiny,en,272.035,6/28/2023,6.6,2580
68,PAW Patrol: The Mighty Movie,en,304.529,9/21/2023,7,245
69,Overhaul,pt,300.642,9/27/2023,6.7,109
70,Deep Fear,en,288.269,10/18/2023,4.9,33
71,Believer 2,ko,236.571,10/5/2023,7.1,50
72,Merry Little Batman,en,308.415,12/8/2023,6.7,95
73,The Marvels,en,329.038,11/8/2023,6.4,790
74,The Dark Tower,en,234.062,8/3/2017,5.7,4771
75,The Collective,en,262.641,8/4/2023,5.8,72
76,Heart of Stone,en,255.195,8/9/2023,6.9,1412
77,Spider-Man: No Way Home,en,276.842,12/15/2021,8,18799
78,The Velveteen Rabbit,en,270.182,11/21/2023,7.2,40
79,Desperation Road,en,229.001,10/19/2023,6.9,61
80,Guardians of the Galaxy Vol. 3,en,256.416,5/3/2023,8,5660
81,No One Will Save You,en,258.232,9/22/2023,6.8,840
82,The Little Mermaid,en,231.046,5/18/2023,6.4,2519
83,Warhorse One,en,213.66,6/30/2023,7.1,192
84,Aquaman: Heroines of Atlantis,en,254.008,3/26/2019,6.1,38
85,Justice League: Warworld,en,218.695,7/25/2023,7.2,193
86,After Everything,en,262.169,9/13/2023,7,628
87,The Bad Guys: A Very Bad Holiday,en,222.941,11/30/2023,6.6,76
88,The Engineer,en,178.784,8/18/2023,6.5,50
89,Adipurush,hi,210.29,6/16/2023,5.2,68
90,Extraction 2,en,207.49,6/9/2023,7.5,2049
91,Dead for a Dollar,en,367.273,9/30/2022,5.7,180
92,Carl's Date,en,245.463,6/15/2023,7.5,341
93,Sniper: G.R.I.T. - Global Response & Intelligence Team,en,200.603,9/26/2023,6.9,95
94,Harry Potter and the Philosopher's Stone,en,206.976,11/16/2001,7.9,25917
95,Race to the Summit,de,200.207,10/4/2023,7.1,52
96,Sayen: Desert Road,es,333.926,10/19/2023,6.3,50
97,The Kill Room,en,221.241,9/14/2023,6.3,102
98,When Evil Lurks,es,246.356,10/5/2023,7.3,357
99,Avengers: Infinity War,en,233.299,4/25/2018,8.3,28228
100,The Puppetman,en,195.807,12/22/2023,4.8,5
101,Oracle,en,203.554,10/1/2023,7,72
102,Resident Evil: Death Island,ja,188.725,6/22/2023,7.5,783
103,The Flood,en,192.19,7/14/2023,6.7,224
104,Knights of the Zodiac,en,186.362,4/27/2023,6.5,964
105,The Wandering Earth II,zh,177.777,1/22/2023,7.3,424
106,Black Adam,en,189.751,10/19/2022,7,5739
107,Godzilla x Kong: The New Empire,en,206.612,3/14/2024,0,0
108,The Little Mermaid,en,231.046,5/18/2023,6.4,2519
109,Diary of a Wimpy Kid Christmas: Cabin Fever,en,193.54,12/8/2023,7.1,39
110,"Miraculous: Ladybug & Cat Noir, The Movie",fr,183.225,7/5/2023,7.8,711
111,Ghosted,en,178.937,4/18/2023,7,1486
112,Mavka: The Forest Song,uk,197.067,3/2/2023,7.3,570
113,Ant-Man and the Wasp: Quantumania,en,180.614,2/15/2023,6.4,4369
114,Guy Ritchie's The Covenant,en,178.629,4/19/2023,7.8,1975
115,Jagun Jagun,yo,182.924,8/10/2023,6.6,52
116,Black Panther: Wakanda Forever,en,182.189,11/9/2022,7.2,5808
117,Creed III,en,174.013,3/1/2023,7.2,2187
118,Harry Potter and the Chamber of Secrets,en,168.691,11/13/2002,7.7,20825
119,Radical,en,183.797,10/19/2023,7.5,14
120,Radical,en,183.797,10/19/2023,7.5,14
121,Teenage Mutant Ninja Turtles: Mutant Mayhem,en,181.349,7/31/2023,7.3,953
122,Reacher - Prime Premiere,en,170.838,12/13/2023,6.8,4
123,Dragon Ball: Mystical Adventure,ja,194.247,7/9/1988,6.8,231
124,The Black Book,en,174.399,9/22/2023,6.9,66
125,Mob Land,en,183.279,8/4/2023,5.7,48
126,Kingdom III: The Flame of Destiny,ja,153.643,7/28/2023,7.5,79
127,Harry Potter and the Prisoner of Azkaban,en,160.392,5/31/2004,8,20441
